delivery_id,order_id,partner_id,delivery_status,delivery_minutes
1,11226,6,Delivered,40
2,8263,207,Late,54
3,9191,39,Delivered,23
4,1695,281,Delivered,25
5,9518,194,Late,40
6,19157,65,Late,62
7,4085,117,Delivered,56
8,4030,271,Delivered,43
9,10917,197,Delivered,81
10,106,159,Late,86
11,12679,263,Delivered,66
12,19002,196,Delivered,89
13,19115,277,Delivered,87
14,2877,181,Late,33
15,10414,230,Late,70
16,6563,137,Late,35
17,9269,64,Late,50
18,2227,1,Delivered,75
19,12467,99,Late,76
20,6491,238,Late,15
21,2930,58,Late,67
22,10814,192,Delivered,61
23,209,192,Late,73
24,18344,278,Delivered,50
25,4991,85,Delivered,61
26,16727,190,Delivered,19
27,3799,9,Delivered,85
28,2476,178,Late,34
29,12244,156,Delivered,58
30,4981,268,Delivered,71
31,13748,94,Late,38
32,8129,296,Late,42
33,14646,42,Delivered,75
34,18530,80,Late,89
35,6315,115,Late,34
36,12580,298,Delivered,79
37,16995,123,Late,52
38,19402,116,Delivered,59
39,4744,81,Late,48
40,8860,241,Delivered,23
41,4137,99,Delivered,27
42,14199,41,Delivered,82
43,18145,274,Delivered,36
44,7960,179,Delivered,53
45,2380,110,Delivered,49
46,5147,19,Late,16
47,10826,285,Late,44
48,16760,225,Delivered,75
49,15796,8,Late,15
50,14524,234,Late,27
51,18632,262,Late,17
52,17341,186,Delivered,61
53,12365,262,Late,35
54,7980,174,Delivered,87
55,3690,291,Late,51
56,5779,296,Late,56
57,12424,87,Late,55
58,14664,274,Late,19
59,15411,165,Delivered,53
60,7552,218,Late,50
61,19144,280,Delivered,78
62,862,166,Late,39
63,2860,27,Delivered,63
64,13960,204,Delivered,58
65,5044,203,Late,58
66,14050,66,Delivered,73
67,18346,47,Late,15
68,1427,271,Delivered,47
69,6639,240,Delivered,52
70,10083,68,Delivered,27
71,10651,38,Delivered,28
72,6071,28,Delivered,76
73,7457,116,Late,57
74,17256,96,Delivered,36
75,7535,3,Late,32
76,5905,64,Delivered,67
77,487,160,Late,73
78,2510,25,Late,25
79,11834,147,Late,82
80,12404,176,Delivered,20
81,7332,50,Delivered,82
82,6655,109,Late,20
83,770,206,Late,47
84,3800,101,Delivered,58
85,8180,27,Late,54
86,4853,82,Delivered,65
87,1935,284,Delivered,25
88,19261,17,Delivered,79
89,8658,289,Delivered,45
90,4593,86,Delivered,36
91,11554,124,Late,78
92,5829,166,Delivered,76
93,2025,146,Late,73
94,17551,63,Late,34
95,17818,236,Late,21
96,18436,283,Late,74
97,6020,2,Late,67
