menu_id,restaurant_id,item_name,category,price
1,99,Item_1,Drink,215
2,79,Item_2,Drink,582
3,40,Item_3,Veg,176
4,3,Item_4,Dessert,202
5,41,Item_5,Veg,393
6,100,Item_6,Veg,291
7,74,Item_7,Non-Veg,445
8,83,Item_8,Drink,224
9,12,Item_9,Drink,205
10,9,Item_10,Non-Veg,329
11,1,Item_11,Drink,243
12,92,Item_12,Veg,472
13,45,Item_13,Veg,396
14,64,Item_14,Dessert,251
15,98,Item_15,Veg,326
16,52,Item_16,Drink,426
17,24,Item_17,Dessert,431
18,11,Item_18,Drink,393
19,27,Item_19,Veg,154
20,44,Item_20,Dessert,92
21,87,Item_21,Non-Veg,451
22,47,Item_22,Drink,566
23,66,Item_23,Veg,228
24,86,Item_24,Drink,242
25,35,Item_25,Drink,351
26,19,Item_26,Veg,506
27,17,Item_27,Dessert,474
28,96,Item_28,Veg,438
29,53,Item_29,Drink,340
30,41,Item_30,Dessert,117
31,40,Item_31,Dessert,368
32,9,Item_32,Veg,568
33,18,Item_33,Non-Veg,203
34,53,Item_34,Drink,466
35,3,Item_35,Dessert,112
36,18,Item_36,Non-Veg,91
37,17,Item_37,Dessert,581
38,3,Item_38,Non-Veg,329
39,82,Item_39,Veg,385
40,76,Item_40,Non-Veg,291
41,69,Item_41,Dessert,303
42,37,Item_42,Dessert,159
43,20,Item_43,Dessert,132
44,32,Item_44,Drink,358
45,77,Item_45,Veg,130
46,73,Item_46,Drink,347
47,49,Item_47,Dessert,592
48,98,Item_48,Veg,434
49,79,Item_49,Drink,305
50,33,Item_50,Veg,136
51,45,Item_51,Dessert,97
52,78,Item_52,Non-Veg,538
53,16,Item_53,Dessert,97
54,89,Item_54,Dessert,420
55,21,Item_55,Dessert,404
56,99,Item_56,Drink,412
57,35,Item_57,Non-Veg,492
58,40,Item_58,Veg,359
59,83,Item_59,Drink,596
60,91,Item_60,Dessert,372
61,85,Item_61,Non-Veg,160
62,88,Item_62,Non-Veg,391
63,73,Item_63,Dessert,454
64,72,Item_64,Dessert,146
65,97,Item_65,Drink,557
66,37,Item_66,Veg,355
67,39,Item_67,Veg,186
68,97,Item_68,Dessert,126
69,97,Item_69,Veg,506
70,81,Item_70,Non-Veg,409
71,26,Item_71,Dessert,372
72,89,Item_72,Dessert,417
73,48,Item_73,Dessert,420
74,2,Item_74,Dessert,327
75,62,Item_75,Non-Veg,536
76,88,Item_76,Non-Veg,192
77,51,Item_77,Non-Veg,486
78,75,Item_78,Dessert,244
79,76,Item_79,Dessert,411
80,99,Item_80,Veg,476
81,54,Item_81,Drink,140
82,39,Item_82,Veg,329
83,72,Item_83,Drink,381
84,2,Item_84,Veg,417
85,4,Item_85,Drink,381
86,89,Item_86,Dessert,517
87,29,Item_87,Non-Veg,117
88,83,Item_88,Dessert,538
89,98,Item_89,Non-Veg,277
90,56,Item_90,Dessert,143
91,13,Item_91,Veg,524
92,39,Item_92,Dessert,411
93,35,Item_93,Non-Veg,527
94,11,Item_94,Veg,278
95,2,Item_95,Dessert,168
96,53,Item_96,Non-Veg,154
97,91,Item_97,Drink,505
98,70,Item_98,Dessert,478
99,36,Item_99,Veg,286
100,2,Item_100,Dessert,133
101,18,Item_101,Dessert,565
102,82,Item_102,Dessert,448
103,22,Item_103,Non-Veg,373
104,51,Item_104,Dessert,142
105,54,Item_105,Dessert,281
106,51,Item_106,Drink,211
107,63,Item_107,Non-Veg,431
108,77,Item_108,Veg,460
109,76,Item_109,Veg,197
110,17,Item_110,Non-Veg,554
111,35,Item_111,Dessert,177
112,15,Item_112,Drink,80
113,63,Item_113,Drink,351
114,68,Item_114,Non-Veg,279
115,38,Item_115,Dessert,269
116,25,Item_116,Dessert,341
117,69,Item_117,Veg,418
118,4,Item_118,Drink,392
119,54,Item_119,Drink,553
120,85,Item_120,Drink,356
121,28,Item_121,Dessert,250
122,38,Item_122,Dessert,456
123,16,Item_123,Dessert,494
124,18,Item_124,Drink,587
125,4,Item_125,Non-Veg,370
126,73,Item_126,Veg,80
127,86,Item_127,Veg,211
128,12,Item_128,Veg,101
129,26,Item_129,Non-Veg,600
130,2,Item_130,Drink,445
131,11,Item_131,Veg,564
132,88,Item_132,Non-Veg,496
133,93,Item_133,Drink,321
134,80,Item_134,Dessert,137
135,21,Item_135,Drink,321
136,39,Item_136,Dessert,492
137,56,Item_137,Non-Veg,269
138,51,Item_138,Dessert,366
139,23,Item_139,Dessert,478
140,29,Item_140,Non-Veg,187
141,69,Item_141,Dessert,577
142,15,Item_142,Veg,176
143,32,Item_143,Dessert,268
144,84,Item_144,Non-Veg,230
145,47,Item_145,Veg,434
146,1,Item_146,Drink,333
147,26,Item_147,Drink,262
148,4,Item_148,Drink,566
149,77,Item_149,Dessert,258
150,81,Item_150,Dessert,243
151,12,Item_151,Veg,303
152,50,Item_152,Dessert,163
153,44,Item_153,Non-Veg,148
154,77,Item_154,Drink,493
155,99,Item_155,Drink,232
156,69,Item_156,Veg,476
157,98,Item_157,Non-Veg,440
158,20,Item_158,Drink,481
159,76,Item_159,Veg,242
160,16,Item_160,Drink,529
161,99,Item_161,Non-Veg,320
162,51,Item_162,Drink,264
163,27,Item_163,Dessert,408
164,10,Item_164,Drink,580
165,82,Item_165,Drink,88
166,55,Item_166,Drink,368
167,35,Item_167,Veg,343
168,35,Item_168,Dessert,131
169,79,Item_169,Dessert,273
170,92,Item_170,Veg,502
171,41,Item_171,Veg,346
172,67,Item_172,Drink,204
173,42,Item_173,Drink,331
174,18,Item_174,Veg,173
175,55,Item_175,Non-Veg,240
176,98,Item_176,Non-Veg,496
177,61,Item_177,Drink,155
178,85,Item_178,Dessert,421
179,9,Item_179,Veg,549
180,21,Item_180,Dessert,324
181,90,Item_181,Drink,516
182,82,Item_182,Dessert,331
183,45,Item_183,Dessert,93
184,36,Item_184,Non-Veg,128
185,41,Item_185,Drink,330
186,47,Item_186,Veg,528
187,37,Item_187,Veg,455
188,55,Item_188,Non-Veg,237
189,14,Item_189,Non-Veg,320
190,66,Item_190,Non-Veg,534
191,39,Item_191,Drink,276
192,74,Item_192,Veg,258
193,94,Item_193,Drink,459
194,43,Item_194,Dessert,445
195,78,Item_195,Dessert,268
196,76,Item_196,Non-Veg,390
197,55,Item_197,Drink,272
198,94,Item_198,Drink,298
199,99,Item_199,Dessert,556
200,87,Item_200,Non-Veg,579
201,82,Item_201,Drink,374
202,44,Item_202,Drink,83
203,58,Item_203,Dessert,405
204,100,Item_204,Veg,350
205,27,Item_205,Dessert,89
206,67,Item_206,Non-Veg,116
207,64,Item_207,Non-Veg,457
208,60,Item_208,Dessert,571
209,96,Item_209,Veg,296
210,32,Item_210,Drink,197
211,28,Item_211,Non-Veg,313
212,92,Item_212,Non-Veg,396
213,92,Item_213,Veg,215
214,77,Item_214,Veg,238
215,99,Item_215,Veg,549
216,75,Item_216,Veg,323
217,46,Item_217,Drink,140
218,87,Item_218,Drink,287
219,82,Item_219,Dessert,320
220,24,Item_220,Drink,481
221,71,Item_221,Non-Veg,224
222,86,Item_222,Non-Veg,392
223,29,Item_223,Dessert,351
224,35,Item_224,Non-Veg,497
225,48,Item_225,Non-Veg,522
226,94,Item_226,Veg,156
227,16,Item_227,Non-Veg,443
228,99,Item_228,Dessert,498
229,57,Item_229,Non-Veg,84
230,59,Item_230,Non-Veg,587
231,55,Item_231,Veg,506
232,72,Item_232,Non-Veg,383
233,30,Item_233,Veg,171
234,67,Item_234,Non-Veg,587
235,35,Item_235,Non-Veg,551
236,74,Item_236,Drink,408
237,53,Item_237,Dessert,302
238,24,Item_238,Veg,546
239,2,Item_239,Drink,376
240,52,Item_240,Veg,587
241,59,Item_241,Non-Veg,233
242,40,Item_242,Non-Veg,539
243,26,Item_243,Dessert,412
244,25,Item_244,Non-Veg,274
245,68,Item_245,Drink,523
246,62,Item_246,Dessert,312
247,17,Item_247,Veg,311
248,81,Item_248,Drink,122
249,74,Item_249,Dessert,566
250,47,Item_250,Drink,313
251,44,Item_251,Dessert,592
252,41,Item_252,Drink,258
253,58,Item_253,Dessert,302
254,12,Item_254,Dessert,390
255,42,Item_255,Non-Veg,563
256,13,Item_256,Veg,200
257,48,Item_257,Drink,498
258,43,Item_258,Drink,252
259,70,Item_259,Veg,263
260,43,Item_260,Non-Veg,386
261,95,Item_261,Drink,469
262,93,Item_262,Drink,552
263,29,Item_263,Veg,433
264,41,Item_264,Veg,169
265,28,Item_265,Drink,364
266,95,Item_266,Veg,548
267,33,Item_267,Drink,160
268,75,Item_268,Veg,268
269,3,Item_269,Veg,528
270,32,Item_270,Dessert,188
271,46,Item_271,Dessert,594
272,89,Item_272,Drink,150
273,36,Item_273,Non-Veg,413
274,53,Item_274,Dessert,276
275,61,Item_275,Drink,511
276,13,Item_276,Dessert,493
277,9,Item_277,Veg,578
278,37,Item_278,Non-Veg,115
279,97,Item_279,Veg,386
280,22,Item_280,Drink,215
281,62,Item_281,Drink,301
282,71,Item_282,Drink,89
283,89,Item_283,Drink,418
284,87,Item_284,Dessert,482
285,55,Item_285,Drink,524
286,3,Item_286,Non-Veg,154
287,37,Item_287,Veg,379
288,83,Item_288,Dessert,468
289,64,Item_289,Dessert,198
290,45,Item_290,Drink,600
291,29,Item_291,Drink,199
292,18,Item_292,Dessert,443
293,82,Item_293,Dessert,124
294,71,Item_294,Drink,164
295,21,Item_295,Drink,596
296,96,Item_296,Non-Veg,209
297,7,Item_297,Non-Veg,175
298,27,Item_298,Veg,339
299,69,Item_299,Drink,125
300,40,Item_300,Veg,181
301,34,Item_301,Dessert,431
302,28,Item_302,Dessert,197
303,100,Item_303,Non-Veg,192
304,6,Item_304,Dessert,230
305,61,Item_305,Drink,480
306,63,Item_306,Veg,310
307,49,Item_307,Drink,120
308,93,Item_308,Drink,372
309,87,Item_309,Dessert,80
310,4,Item_310,Dessert,180
311,95,Item_311,Non-Veg,583
312,57,Item_312,Dessert,94
313,32,Item_313,Veg,163
314,82,Item_314,Dessert,103
315,36,Item_315,Dessert,358
316,32,Item_316,Dessert,176
317,32,Item_317,Non-Veg,194
318,25,Item_318,Veg,118
319,68,Item_319,Drink,204
320,70,Item_320,Drink,97
321,2,Item_321,Drink,155
322,65,Item_322,Non-Veg,477
323,84,Item_323,Drink,302
324,18,Item_324,Dessert,516
325,99,Item_325,Veg,502
326,80,Item_326,Veg,327
327,35,Item_327,Veg,373
328,91,Item_328,Drink,231
329,23,Item_329,Non-Veg,112
330,16,Item_330,Non-Veg,549
331,77,Item_331,Dessert,213
332,75,Item_332,Veg,276
333,76,Item_333,Non-Veg,504
334,70,Item_334,Non-Veg,237
335,29,Item_335,Drink,412
336,47,Item_336,Drink,167
337,49,Item_337,Veg,215
338,33,Item_338,Veg,412
339,51,Item_339,Dessert,540
340,39,Item_340,Veg,446
341,46,Item_341,Veg,577
342,98,Item_342,Veg,449
343,78,Item_343,Dessert,481
344,79,Item_344,Dessert,174
345,76,Item_345,Dessert,294
346,86,Item_346,Veg,342
347,2,Item_347,Non-Veg,578
348,65,Item_348,Non-Veg,211
349,41,Item_349,Drink,449
350,75,Item_350,Veg,429
351,21,Item_351,Non-Veg,173
352,44,Item_352,Non-Veg,91
353,94,Item_353,Dessert,148
354,65,Item_354,Drink,502
355,53,Item_355,Drink,440
356,71,Item_356,Drink,398
357,61,Item_357,Dessert,507
358,59,Item_358,Veg,205
359,44,Item_359,Veg,596
360,8,Item_360,Veg,536
361,22,Item_361,Non-Veg,448
362,25,Item_362,Veg,161
363,3,Item_363,Veg,292
364,19,Item_364,Dessert,117
365,66,Item_365,Non-Veg,593
366,72,Item_366,Dessert,529
367,66,Item_367,Veg,479
368,69,Item_368,Non-Veg,540
369,74,Item_369,Dessert,151
370,47,Item_370,Veg,322
371,57,Item_371,Dessert,160
372,3,Item_372,Non-Veg,535
373,75,Item_373,Veg,448
374,72,Item_374,Dessert,358
375,94,Item_375,Drink,384
376,83,Item_376,Veg,220
377,5,Item_377,Non-Veg,145
378,56,Item_378,Non-Veg,108
379,33,Item_379,Dessert,345
380,4,Item_380,Non-Veg,258
381,16,Item_381,Dessert,200
382,3,Item_382,Veg,528
