order_item_id,order_id,menu_id,quantity
1,17185,261,1
2,11809,43,4
3,773,290,1
4,16579,441,3
5,18405,481,2
6,18583,128,3
7,6157,70,4
8,8627,348,1
9,14645,124,4
10,8186,287,3
11,16641,332,4
12,16063,493,2
13,4262,46,1
14,8954,130,3
15,19941,136,4
16,19655,421,2
17,2046,478,4
18,16027,489,3
19,8737,302,3
20,10123,369,1
21,6589,241,4
22,8621,390,4
23,9624,183,3
24,17500,243,4
25,5104,1,3
26,9318,223,2
27,15376,329,4
28,765,447,2
29,8248,59,1
30,10368,488,4
31,4360,479,2
32,10080,251,3
33,15185,151,4
34,8159,484,1
35,12908,231,3
36,6203,136,4
37,19453,316,1
38,18765,148,2
39,6851,62,4
40,7841,108,4
41,19928,199,4
42,5626,194,3
43,17501,300,2
44,9724,243,3
45,6999,142,2
46,19579,105,2
47,9983,302,1
48,15764,358,3
49,17032,135,2
50,19418,392,2
51,5561,467,1
52,18174,288,3
53,14639,366,4
54,61,62,4
55,9608,211,1
56,11494,291,2
57,9143,382,1
58,15968,47,2
59,18385,411,2
60,7188,116,3
61,18743,6,3
62,16494,28,4
63,4998,221,1
64,17068,98,3
65,6563,405,3
66,4926,332,3
67,12065,448,4
68,7695,262,4
69,13654,270,4
70,3183,442,1
71,14840,151,1
72,3789,317,4
73,19676,116,2
74,3589,361,3
75,15213,331,2
76,15518,465,1
77,12708,449,3
78,2366,391,4
79,15790,253,3
80,11362,242,4
81,16728,233,1
82,7045,298,2
83,2499,419,3
84,15425,382,2
85,19363,43,2
86,16392,236,3
87,4642,302,2
88,13114,24,1
89,7481,310,4
90,8996,303,4
91,8960,318,3
92,18365,49,1
93,1309,191,4
94,11086,112,3
95,843,478,4
96,19960,234,3
97,5784,266,3
98,9515,368,1
99,3795,363,2
100,19827,20,2
101,13382,396,1
102,5264,361,2
103,14906,139,3
104,8017,53,1
105,15602,84,1
106,14290,384,1
107,18051,37,3
108,15514,78,1
109,5972,251,4
110,1029,58,1
111,13663,116,3
112,7740,293,3
113,3412,323,4
114,4357,207,4
115,462,291,1
116,8152,441,3
117,16940,491,4
118,3428,440,2
119,18764,140,3
120,4342,291,3
121,9342,476,1
122,14197,227,1
123,9291,381,4
124,4012,195,2
125,284,267,1
126,6822,269,3
127,15863,127,2
128,3483,296,1
129,18905,458,2
130,7414,242,2
131,9533,155,1
132,8403,90,2
133,14482,372,1
134,18487,289,3
135,3059,452,1
136,19763,112,2
137,10820,295,4
138,18916,301,3
139,1554,149,3
140,11655,318,3
141,10682,58,2
142,15583,156,3
143,6263,140,3
144,1322,191,1
145,14013,357,4
146,979,206,4
147,3720,414,3
148,7066,446,1
149,12377,227,2
150,15324,360,3
151,14578,347,1
152,15947,6,4
153,793,76,3
154,9909,395,2
155,2478,84,1
156,877,315,1
157,10273,94,1
158,1371,441,2
159,151,370,3
160,18779,500,1
161,16936,398,1
162,17266,141,4
163,8824,128,1
164,13597,450,2
165,1772,381,2
166,1299,53,2
167,18856,113,1
168,19788,357,4
169,15889,367,3
170,10529,486,4
171,15985,115,3
172,3765,139,1
173,3015,479,4
174,11888,122,3
175,6156,421,1
176,8488,324,1
177,18043,248,3
178,8668,92,1
179,7793,341,4
180,11869,89,3
181,4169,478,1
182,1894,35,3
183,12052,183,4
184,16385,328,2
185,3811,303,1
186,7543,498,4
187,12709,310,4
188,9661,177,3
189,1091,427,1
190,17965,200,4
191,18043,11,2
192,10290,107,3
193,1303,35,3
194,7625,339,4
195,16943,100,1
196,18868,249,2
197,4191,187,1
198,9901,202,2
199,10780,481,1
200,9611,406,3
201,10273,483,4
202,10423,331,3
203,18052,227,1
204,5520,490,2
205,1245,442,1
206,13104,9,1
207,5334,376,4
208,16238,325,2
209,19749,225,3
210,10720,354,1
211,16212,436,2
212,11898,150,1
213,8408,38,4
214,17125,148,2
215,8874,483,3
