order_id,customer_id,restaurant_id,order_date,payment_method,order_status,total_amount
1,994,96,2025-05-25,Card,Cancelled,2962.97
2,972,10,2025-08-28,Card,Delivered,1936.06
3,939,99,2025-10-13,Cash,Cancelled,187.38
4,230,96,2025-10-01,UPI,Delivered,1398.38
5,964,100,2025-07-07,UPI,Delivered,2568.3
6,212,15,2025-01-16,Cash,Cancelled,210.87
7,179,54,2025-12-29,UPI,Cancelled,1920.29
8,561,89,2025-04-11,Card,Cancelled,1849.33
9,872,29,2025-12-26,Card,Cancelled,1185.95
10,708,13,2025-11-04,UPI,Delivered,1536.12
11,748,30,2025-05-19,Card,Delivered,1350.7
12,51,53,2025-05-04,Cash,Cancelled,1958.93
13,338,77,2025-02-01,Cash,Delivered,2725.44
14,122,5,2025-01-26,Card,Delivered,439.83
15,973,81,2025-06-30,UPI,Cancelled,1010.66
16,235,8,2025-04-11,Card,Delivered,1835.67
17,476,6,2025-08-20,Cash,Cancelled,1181.7
18,271,89,2025-02-17,Cash,Cancelled,334.71
19,361,31,2025-06-16,UPI,Delivered,702.94
20,417,29,2025-02-21,Cash,Cancelled,986.37
21,796,94,2025-10-15,Cash,Cancelled,1087.78
22,187,5,2025-03-23,Cash,Cancelled,2887.74
23,91,94,2025-01-09,UPI,Cancelled,1092.53
24,882,90,2025-02-08,Card,Delivered,2448.55
25,78,4,2025-07-21,UPI,Cancelled,655.22
26,249,57,2025-09-24,UPI,Cancelled,384.76
27,111,26,2025-10-22,Card,Cancelled,1648.58
28,319,94,2025-02-10,Cash,Cancelled,1855.41
29,521,83,2025-09-02,Cash,Cancelled,584.29
30,292,7,2025-01-13,UPI,Delivered,694.49
31,817,60,2025-07-02,UPI,Cancelled,1667.62
32,776,16,2025-03-13,Card,Cancelled,260.17
33,163,39,2025-06-09,Cash,Delivered,2026.36
34,437,8,2025-06-06,Card,Delivered,2562.05
35,938,32,2025-05-21,Cash,Cancelled,1357.56
36,719,19,2025-01-12,Cash,Cancelled,469.37
37,589,33,2025-04-14,Cash,Cancelled,2097.12
38,677,78,2025-12-10,Card,Delivered,2690.22
39,741,36,2025-05-02,Card,Cancelled,324.97
40,456,63,2025-12-21,Cash,Cancelled,1053.84
41,482,91,2025-07-26,Card,Delivered,1244.1
42,897,12,2025-01-19,UPI,Delivered,2142.11
43,376,2,2025-10-17,Card,Delivered,2513.24
44,309,64,2025-02-21,Card,Cancelled,2613.02
45,22,90,2025-01-22,UPI,Cancelled,237.2
46,675,22,2025-07-04,UPI,Delivered,2436.03
47,332,72,2025-06-25,UPI,Cancelled,2050.17
48,318,18,2025-07-04,Cash,Delivered,1743.42
49,768,48,2025-10-30,Cash,Cancelled,2481.89
50,760,6,2025-03-17,Cash,Cancelled,545.34
51,663,19,2025-09-30,Cash,Delivered,1103.15
